[Zone]  ID=zCragrook1a; dark=True; timeUntilNewDay=24; showFogOfWar=True; fogOfWar=True; minimapEnabled=True; allowCameraPastZoneEdges=False; cantAct=False; cantGameOver=False; alwaysKeepWeaponsUnsheathed=False; peaceful=False; overseerMode=False; rollingPinStyle=False; drawSky=False; boatZone=False; wind=False; overworld=False; canDropItems=True; 
 travelSong=AmbientBeach; travelSongVolume=0.8; travelSongPitch=0; combatSong=; combatSongVolume=1; combatSongPitch=0; combatSongDelay=0; 
darkR=102; darkG=102; darkB=153; 
 screenWaveFreq=0; screenDarkWaveFreq=0; screenWaveAmp=0.01; screenDarkWaveAmp=0.01; screenWaveSpeed=0.2; screenWaveAmp_reflect=0.0014; 
 bgTerrainTypeID=; bgFXID=ocean; bgFX_sineWave=12; darkenedTileTexture=darkenedTile; bgScale=1; bgParallaxRatio=1; bgMoveSpeedX=0; bgMoveSpeedY=0; 
paletteOverride=; zoneDirtPalette=pYellow6; zoneGrassPalette=overworld1; zoneGrassDarkPalette=pGreen2; zoneStonePalette=p2; zoneStoneDarkPalette=pFangWeaponHilt; zoneStoneLightPalette=p2; zoneWaterPalette=pBlue; zoneDirtDarkPalette=pYellow6; zoneWoodPalette=pWood; zoneWoodDarkPalette=pWoodDark; zoneMisc1Palette=p2; zoneMisc2Palette=p12; zoneMisc3Palette=p2; zoneMisc4Palette=pBlue; zoneMisc5Palette=pGreen; zoneMisc6Palette=pOrange; zoneMisc7Palette=pYellow; zoneMisc8Palette=pPurple; 

combatMode=False; 

[Item] ID=outdoor_mtn_rangeR3_cr; q=1; x=12; y=15;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=39; y=16;
[Item] ID=blockedLoE; q=1; x=39; y=16;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=39; y=17;
[Item] ID=blockedLoE; q=1; x=39; y=17;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=39; y=18;
[Item] ID=blockedLoE; q=1; x=39; y=18;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=39; y=19;
[Item] ID=blockedLoE; q=1; x=39; y=19;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=39; y=20;
[Item] ID=blockedLoE; q=1; x=39; y=20;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=39; y=21;
[Item] ID=blockedLoE; q=1; x=39; y=21;
[Item] ID=outdoor_mtn_rangeL2_cr; q=1; x=39; y=22;
[Item] ID=blockedLoE; q=1; x=39; y=22;
[Item] ID=portcullis_closed; q=1; x=39; y=24;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=40; y=15;
[Item] ID=blockedLoE; q=1; x=40; y=15;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=40; y=16;
[Item] ID=blockedLoE; q=1; x=40; y=16;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=40; y=17;
[Item] ID=blockedLoE; q=1; x=40; y=17;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=40; y=18;
[Item] ID=blockedLoE; q=1; x=40; y=18;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=40; y=19;
[Item] ID=blockedLoE; q=1; x=40; y=19;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=40; y=20;
[Item] ID=blockedLoE; q=1; x=40; y=20;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=40; y=21;
[Item] ID=blockedLoE; q=1; x=40; y=21;
[Item] ID=outdoor_mtn_rangeL2_cr; q=1; x=40; y=22;
[Item] ID=blockedLoE; q=1; x=40; y=22;
[Item] ID=portcullis_closed; q=1; x=40; y=24;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=41; y=15;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=41; y=16;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=41; y=17;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=41; y=18;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=41; y=19;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=41; y=20;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=41; y=21;
[Item] ID=outdoor_mtn_rangeL2_cr; q=1; x=41; y=22;
[Item] ID=blockedLoE; q=1; x=41; y=22;
[Item] ID=portcullis_closed; q=1; x=41; y=24;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=42; y=15;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=42; y=16;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=42; y=17;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=42; y=18;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=42; y=19;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=42; y=20;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=42; y=21;
[Item] ID=outdoor_mtn_rangeL2_cr; q=1; x=42; y=22;
[Item] ID=blockedLoE; q=1; x=42; y=22;
[Item] ID=portcullis_closed; q=1; x=42; y=24;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=43; y=15;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=43; y=16;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=43; y=17;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=43; y=18;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=43; y=19;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=43; y=20;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=43; y=21;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=43; y=22;
[Item] ID=blockedLoE; q=1; x=43; y=22;
[Item] ID=outdoor_mtn_rangeL7_cr; q=1; r=360; x=43; y=23;
[Item] ID=blockedLoE; q=1; x=43; y=23;
[Item] ID=outdoor_mtn_rangeL1_cr; q=1; x=43; y=24;
[Item] ID=blockedLoE; q=1; x=43; y=24;
[Item] ID=outdoor_mtn_rangeL_base_cr; q=1; x=43; y=25;
[Item] ID=blockedLoE; q=1; x=43; y=25;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=44; y=15;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=44; y=16;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=44; y=17;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=44; y=18;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=44; y=19;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=44; y=20;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=44; y=21;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=44; y=22;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=44; y=23;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=44; y=24;
[Item] ID=outdoor_mtn_rangeL2_cr; q=1; x=44; y=25;
[Item] ID=blockedLoE; q=1; x=44; y=25;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=45; y=15;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=45; y=16;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=45; y=17;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=45; y=18;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=45; y=19;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=45; y=20;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=45; y=21;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=45; y=22;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=45; y=23;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=45; y=24;
[Item] ID=outdoor_mtn_rangeL2_cr; q=1; x=45; y=25;
[Item] ID=blockedLoE; q=1; x=45; y=25;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=46; y=15;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=46; y=16;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=46; y=17;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=46; y=18;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=46; y=19;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=46; y=20;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=46; y=21;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=46; y=22;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=46; y=23;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=46; y=24;
[Item] ID=outdoor_mtn_rangeL2_cr; q=1; x=46; y=25;
[Item] ID=blockedLoE; q=1; x=46; y=25;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=47; y=15;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=47; y=16;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=47; y=17;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=47; y=18;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=47; y=19;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=47; y=20;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=47; y=21;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=47; y=22;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=47; y=23;
[Item] ID=outdoor_mtn_rangeL3_cr; q=1; x=47; y=24;
[Item] ID=outdoor_mtn_rangeL2_cr; q=1; x=47; y=25;
[Item] ID=blockedLoE; q=1; x=47; y=25;



[Trigger] numID=0; aliasID=;
topX=14;topY=35;btmX=29;btmY=39;
triggerImmediatelyOnEnteringZone=False; triggeredByElement=none; travelModeOnly=False; triggerOnPlayerActorOnly=False; onlyExecuteOnce=False; triggerForEveryStepInArea=False; disableOnZoneEntry=False; fReq=1;
[TriggerEffect] numID=0; effectID=travel_leaveLocation; sValue=; sValue2=; bValue1=False; bValue2=False; fValue=0; delay=0; xValue=-1; yValue=-1;



[Trigger] numID=1; aliasID=;
topX=23;topY=23;btmX=23;btmY=23;
triggerImmediatelyOnEnteringZone=False; triggeredByElement=none; travelModeOnly=False; triggerOnPlayerActorOnly=False; onlyExecuteOnce=False; triggerForEveryStepInArea=False; disableOnZoneEntry=False; fReq=1;
[TriggerEffect] numID=1; effectID=travel_point; sValue=zCragrook1b; sValue2=; bValue1=False; bValue2=False; fValue=0; delay=0; xValue=-1; yValue=-1;



[Trigger] numID=2; aliasID=;
topX=30;topY=33;btmX=34;btmY=33;
triggerImmediatelyOnEnteringZone=True; triggeredByElement=none; travelModeOnly=False; triggerOnPlayerActorOnly=False; onlyExecuteOnce=True; triggerForEveryStepInArea=False; disableOnZoneEntry=False; fReq=g:crookPassOpen;
[TriggerEffect] numID=2; effectID=applyElement; sValue=mechanical; sValue2=; bValue1=False; bValue2=False; fValue=0; delay=0; xValue=38; yValue=25;



[Trigger] numID=3; aliasID=;
topX=31;topY=36;btmX=31;btmY=36;
triggerImmediatelyOnEnteringZone=True; triggeredByElement=none; travelModeOnly=False; triggerOnPlayerActorOnly=False; onlyExecuteOnce=False; triggerForEveryStepInArea=False; disableOnZoneEntry=False; fReq=1;
[TriggerEffect] numID=3; effectID=trigger; sValue=tEnterLoc; sValue2=; bValue1=False; bValue2=False; fValue=0; delay=0; xValue=-1; yValue=-1;



